week,country,temperature,rainfall,humidity,sanitation_score,resistance_gene_score,git_infection_cases,amr_cases
2022-07-09,Rwanda,27.36,15.11,61.46,0.47,0.97,56,38
2022-07-16,Rwanda,25.0,75.87,54.31,0.05,0.9,63,40
2022-07-23,Rwanda,21.65,39.73,54.39,0.54,0.83,59,35
2022-07-30,Rwanda,27.93,7.82,75.62,0.72,0.89,43,27
2022-08-06,Rwanda,28.97,40.12,84.3,0.24,0.36,72,22
2022-08-13,Rwanda,25.91,59.85,76.46,0.5,0.59,53,23
2022-08-20,Rwanda,27.43,147.55,66.23,0.18,0.48,43,16
2022-08-27,Rwanda,22.07,10.41,69.36,0.46,0.65,56,27
2022-09-03,Rwanda,25.19,47.34,59.5,0.05,0.41,54,18
2022-09-10,Rwanda,22.84,44.69,57.79,0.82,0.91,53,34
2022-09-17,Rwanda,26.62,42.28,50.91,0.78,0.2,42,9
2022-09-24,Rwanda,30.55,22.52,88.1,0.11,0.45,55,20
2022-10-01,Rwanda,21.0,56.41,67.32,0.85,0.54,44,18
2022-10-08,Rwanda,28.86,6.93,89.62,0.86,0.7,60,31
2022-10-15,Rwanda,20.75,15.8,64.0,0.27,0.58,57,25
2022-10-22,Rwanda,23.17,37.49,71.01,0.07,0.9,68,43
2022-10-29,Rwanda,18.02,43.42,59.13,0.64,0.13,41,7
2022-11-05,Rwanda,24.38,41.5,54.93,0.98,0.75,51,28
2022-11-12,Rwanda,22.17,20.57,82.53,0.54,0.43,53,18
2022-11-19,Rwanda,20.54,29.59,79.54,0.08,0.19,63,13
2022-11-26,Rwanda,24.82,14.78,62.02,0.67,0.17,54,10
2022-12-03,Rwanda,31.3,4.23,72.16,0.17,0.72,65,34
2022-12-10,Rwanda,25.32,21.79,78.4,0.61,0.98,48,33
2022-12-17,Rwanda,22.7,31.56,83.96,0.48,0.53,52,21
2022-12-24,Rwanda,28.24,28.22,68.03,0.83,0.27,46,12
2022-12-31,Rwanda,25.87,25.64,74.58,0.85,0.12,47,8
2023-01-07,Rwanda,26.18,9.74,56.14,0.92,0.44,59,21
2023-01-14,Rwanda,24.74,25.6,72.75,0.24,0.3,58,16
2023-01-21,Rwanda,24.33,19.07,63.09,0.3,0.43,62,22
2023-01-28,Rwanda,26.58,11.31,89.21,0.1,0.74,63,34
2023-02-04,Rwanda,29.0,48.91,71.26,0.91,0.88,35,21
2023-02-11,Rwanda,22.88,12.27,54.27,0.99,0.59,55,25
2023-02-18,Rwanda,28.74,1.79,88.11,1.0,0.61,46,21
2023-02-25,Rwanda,22.77,67.16,71.33,0.44,0.03,63,7
2023-03-04,Rwanda,24.56,64.39,86.48,0.09,0.34,52,15
2023-03-11,Rwanda,17.01,52.18,56.97,0.28,0.73,57,30
2023-03-18,Rwanda,23.26,7.76,63.83,0.95,0.25,49,12
2023-03-25,Rwanda,27.08,14.48,73.55,0.06,0.38,63,20
2023-04-01,Rwanda,23.45,97.3,52.26,0.89,0.79,55,31
2023-04-08,Rwanda,25.79,53.37,61.58,0.5,0.32,59,17
2023-04-15,Rwanda,31.19,53.59,84.79,0.43,0.93,29,19
2023-04-22,Rwanda,25.73,19.98,89.22,0.8,0.74,52,28
2023-04-29,Rwanda,25.82,24.3,78.78,0.09,0.38,51,16
2023-05-06,Rwanda,25.32,42.66,63.08,0.44,0.89,66,42
2023-05-13,Rwanda,22.78,21.93,68.97,0.14,0.14,45,8
2023-05-20,Rwanda,24.82,14.02,60.93,0.54,0.98,51,35
2023-05-27,Rwanda,25.64,51.63,59.38,0.85,0.38,44,14
2023-06-03,Rwanda,25.09,4.62,82.46,0.46,0.23,47,11
2023-06-10,Rwanda,27.39,62.94,59.33,0.65,0.66,50,24
2023-06-17,Rwanda,20.33,15.59,76.91,0.69,0.65,43,21
2023-06-24,Rwanda,27.01,32.81,56.77,0.7,0.29,53,14
2023-07-01,Rwanda,25.67,25.03,56.47,0.33,0.32,53,15
2023-07-08,Rwanda,27.97,30.04,69.07,0.85,0.65,42,20
2023-07-15,Rwanda,22.22,7.32,75.02,0.97,0.85,57,34
2023-07-22,Rwanda,26.67,26.73,61.22,0.25,0.25,59,14
2023-07-29,Rwanda,25.76,11.97,65.96,0.82,0.43,46,16
2023-08-05,Rwanda,27.65,13.74,72.84,0.58,0.81,48,28
2023-08-12,Rwanda,22.1,28.54,80.17,0.68,0.65,56,27
2023-08-19,Rwanda,23.81,15.14,63.42,0.5,0.11,54,9
2023-08-26,Rwanda,26.5,23.4,61.25,0.3,0.82,43,25
2023-09-02,Rwanda,31.66,35.16,63.07,0.88,0.53,58,24
2023-09-09,Rwanda,25.1,61.95,68.9,0.31,0.02,61,6
2023-09-16,Rwanda,22.18,12.34,75.97,0.43,0.27,56,14
2023-09-23,Rwanda,26.5,24.23,79.62,0.34,0.09,67,10
2023-09-30,Rwanda,27.13,23.43,53.95,0.84,0.79,67,38
2023-10-07,Rwanda,21.47,12.27,50.87,0.6,0.48,43,16
2023-10-14,Rwanda,24.58,18.06,80.48,0.83,0.88,51,31
2023-10-21,Rwanda,16.18,2.24,56.21,0.5,0.36,52,16
2023-10-28,Rwanda,25.75,38.26,65.71,0.68,1.0,52,36
2023-11-04,Rwanda,24.24,13.19,56.03,0.07,0.26,58,14
2023-11-11,Rwanda,25.6,40.99,73.04,1.0,0.05,67,8
2023-11-18,Rwanda,21.88,37.1,80.47,0.03,0.35,66,20
2023-11-25,Rwanda,21.61,79.6,70.63,0.77,0.35,45,13
2023-12-02,Rwanda,31.42,40.97,55.85,0.99,0.16,49,9
2023-12-09,Rwanda,27.21,10.62,62.83,0.01,0.34,55,16
2023-12-16,Rwanda,26.62,7.31,63.2,0.96,0.3,58,16
2023-12-23,Rwanda,26.32,47.75,70.32,0.6,0.37,57,18
2022-01-01,Burundi,27.66,34.78,51.5,0.08,0.46,66,24
2022-01-08,Burundi,31.04,1.71,63.41,0.28,0.18,44,9
2022-01-15,Burundi,23.6,116.97,54.25,0.12,0.86,61,37
2022-01-22,Burundi,23.83,50.34,63.91,0.48,0.72,55,29
2022-01-29,Burundi,24.56,22.26,87.1,0.14,0.37,66,21
2022-02-05,Burundi,26.7,7.02,61.7,0.56,0.5,57,22
2022-02-12,Burundi,23.53,64.67,63.8,0.74,0.44,65,23
2022-02-19,Burundi,25.59,17.52,69.99,0.39,0.69,52,26
2022-02-26,Burundi,23.29,21.97,74.5,0.2,0.98,55,38
2022-03-05,Burundi,23.06,10.82,68.23,0.5,0.69,59,30
2022-03-12,Burundi,26.84,14.42,72.28,0.28,0.68,52,26
2022-03-19,Burundi,26.07,16.22,52.23,0.69,0.05,57,7
2022-03-26,Burundi,24.0,13.16,82.42,0.19,0.04,62,7
2022-04-02,Burundi,22.12,16.99,65.21,0.01,0.64,65,31
2022-04-09,Burundi,25.55,25.56,63.73,0.56,0.86,49,30
2022-04-16,Burundi,22.56,64.14,81.74,0.45,0.96,61,41
2022-04-23,Burundi,18.9,7.01,69.77,0.25,0.24,63,15
2022-04-30,Burundi,27.11,26.6,50.08,0.39,0.75,56,30
2022-05-07,Burundi,30.09,33.93,61.59,0.74,0.22,59,13
2022-05-14,Burundi,25.14,56.12,87.97,0.29,0.22,51,11
2022-05-21,Burundi,28.19,0.34,51.87,0.35,0.58,47,20
2022-05-28,Burundi,25.97,78.34,56.65,0.51,0.97,61,41
2022-06-04,Burundi,31.36,18.57,88.18,0.87,0.09,47,7
2022-06-11,Burundi,23.09,11.51,61.07,0.71,0.22,62,14
2022-06-18,Burundi,20.08,2.91,52.37,0.23,0.64,44,21
2022-06-25,Burundi,22.74,43.76,70.78,0.43,0.17,63,12
2022-07-02,Burundi,25.13,58.38,88.79,0.28,0.58,63,28
2022-07-09,Burundi,23.8,36.23,87.45,0.65,0.73,43,23
2022-07-16,Burundi,24.91,25.97,67.35,0.21,0.85,63,38
2022-07-23,Burundi,28.62,21.89,59.18,0.56,0.68,58,29
2022-07-30,Burundi,22.72,32.35,73.96,0.04,0.25,57,14
2022-08-06,Burundi,25.83,5.92,59.24,0.69,0.95,69,46
2022-08-13,Burundi,21.91,21.47,56.44,0.12,0.03,68,8
2022-08-20,Burundi,24.79,62.97,73.25,0.21,0.61,59,27
2022-08-27,Burundi,23.89,30.92,78.48,0.28,0.54,56,23
2022-09-03,Burundi,24.22,13.45,64.42,0.26,0.17,58,11
2022-09-10,Burundi,20.8,22.4,73.3,0.09,0.1,54,8
2022-09-17,Burundi,25.49,3.22,56.98,0.48,0.13,56,9
2022-09-24,Burundi,23.04,42.7,59.92,0.93,0.62,49,23
2022-10-01,Burundi,25.48,45.16,55.32,0.17,0.19,56,12
2022-10-08,Burundi,23.08,11.18,74.43,0.27,0.3,67,18
2022-10-15,Burundi,27.19,47.88,51.84,0.33,0.22,61,14
2022-10-22,Burundi,21.63,5.28,61.19,0.43,0.38,52,16
2022-10-29,Burundi,28.98,40.07,79.2,0.0,0.62,62,29
2022-11-05,Burundi,26.3,1.76,65.07,0.56,0.92,53,34
2022-11-12,Burundi,18.56,17.05,65.46,0.11,0.7,53,27
2022-11-19,Burundi,28.98,12.43,71.63,0.68,0.58,51,22
2022-11-26,Burundi,21.82,5.16,86.4,0.46,0.53,56,23
2022-12-03,Burundi,27.19,27.77,69.2,0.88,0.63,56,26
2022-12-10,Burundi,25.48,36.67,67.89,0.22,0.93,62,40
2022-12-17,Burundi,23.2,23.35,79.56,0.85,0.99,46,31
2022-12-24,Burundi,27.4,27.13,86.93,0.69,0.99,61,42
2022-12-31,Burundi,28.2,47.24,62.16,0.47,0.33,59,17
2023-01-07,Burundi,23.55,56.08,57.72,0.52,0.96,53,35
2023-01-14,Burundi,24.57,18.26,54.69,0.91,0.87,53,32
2023-01-21,Burundi,27.27,7.56,52.04,0.35,0.13,47,8
2023-01-28,Burundi,25.96,31.73,52.41,0.53,0.0,52,5
2023-02-04,Burundi,26.31,27.75,50.92,0.52,0.55,61,26
2023-02-11,Burundi,26.94,35.91,54.37,0.03,0.64,54,26
2023-02-18,Burundi,27.28,14.09,83.51,0.68,0.7,61,31
2023-02-25,Burundi,28.06,22.52,74.24,0.67,0.82,60,35
2023-03-04,Burundi,26.0,21.17,54.77,0.09,0.23,46,10
2023-03-11,Burundi,26.86,17.23,85.74,0.55,0.49,53,21
2023-03-18,Burundi,28.95,42.6,73.95,0.14,0.55,51,22
2023-03-25,Burundi,29.98,7.24,56.58,0.16,0.01,59,6
2023-04-01,Burundi,25.45,18.8,59.64,0.12,0.78,73,41
2023-04-08,Burundi,31.54,146.71,76.42,1.0,0.71,51,26
2023-04-15,Burundi,25.8,7.81,73.99,0.38,0.43,55,19
2023-04-22,Burundi,27.42,22.58,59.54,0.39,0.47,52,19
2023-04-29,Burundi,28.49,15.55,87.94,0.01,0.72,56,29
2023-05-06,Burundi,23.13,6.2,57.94,0.5,0.16,57,11
2023-05-13,Burundi,23.76,79.91,56.34,0.48,0.09,60,9
2023-05-20,Burundi,25.47,70.97,66.99,0.2,0.98,57,39
2023-05-27,Burundi,28.01,64.28,73.9,0.3,0.75,66,36
2023-06-03,Burundi,22.8,77.86,85.46,0.35,0.29,56,15
2023-06-10,Burundi,22.54,8.47,82.44,0.98,0.59,49,22
2023-06-17,Burundi,20.41,5.64,54.5,0.94,0.7,59,30
2023-06-24,Burundi,28.77,28.52,65.65,0.05,0.3,63,17
2023-07-01,Burundi,22.92,37.02,68.82,0.19,0.48,58,22
2023-07-08,Burundi,28.03,15.67,75.62,0.95,0.88,41,25
2023-07-15,Burundi,20.71,34.11,77.92,0.84,0.18,53,10
2023-07-22,Burundi,26.42,32.41,68.84,0.42,0.21,53,12
2023-07-29,Burundi,28.21,31.84,75.37,0.31,0.32,59,17
2023-08-05,Burundi,22.55,8.51,88.41,0.67,0.94,60,39
2023-08-12,Burundi,29.56,39.13,88.21,0.05,0.12,43,7
2023-08-19,Burundi,24.74,26.93,82.79,0.03,0.12,51,8
2023-08-26,Burundi,21.83,9.41,78.39,0.99,0.66,42,20
2023-09-02,Burundi,22.77,22.52,84.15,0.48,0.92,53,34
2023-09-09,Burundi,23.89,25.45,73.88,0.88,0.41,47,16
2023-09-16,Burundi,21.44,8.94,76.38,0.79,0.21,45,10
2023-09-23,Burundi,24.26,91.68,55.91,0.94,0.09,54,8
2023-09-30,Burundi,23.33,56.98,50.73,0.46,0.21,66,14
2023-10-07,Burundi,25.76,77.5,82.22,0.98,0.01,42,4
2023-10-14,Burundi,22.41,41.98,85.26,0.31,0.15,55,10
2023-10-21,Burundi,19.57,15.08,64.2,0.69,0.4,56,19
2023-10-28,Burundi,26.84,32.27,51.93,0.36,0.94,48,31
2023-11-04,Burundi,28.15,11.13,65.36,0.15,0.27,56,14
2023-11-11,Burundi,28.16,11.9,72.17,0.85,0.96,52,35
2023-11-18,Burundi,22.9,47.75,80.03,0.38,0.94,71,47
2023-11-25,Burundi,26.18,14.66,76.14,0.77,0.71,61,32
2023-12-02,Burundi,19.37,72.43,70.13,0.99,0.89,58,36
2023-12-09,Burundi,27.99,65.65,73.6,0.09,0.24,45,11
2023-12-16,Burundi,22.65,46.75,62.51,0.89,0.64,48,23
2023-12-23,Burundi,21.0,23.29,69.69,0.09,0.61,46,21
2022-01-01,Kenya,17.92,34.14,78.13,0.84,0.61,47,21
2022-01-08,Kenya,24.22,5.96,73.35,0.44,0.09,64,9
2022-01-15,Kenya,23.08,43.16,54.32,0.8,0.78,53,30
2022-01-22,Kenya,27.21,34.96,61.14,0.47,0.44,54,19
2022-01-29,Kenya,22.95,21.91,66.27,0.81,0.67,53,26
2022-02-05,Kenya,22.55,24.02,68.31,0.48,0.22,51,11
2022-02-12,Kenya,29.26,5.36,68.18,0.05,0.46,62,23
2022-02-19,Kenya,29.26,16.8,52.79,0.77,0.88,51,32
2022-02-26,Kenya,22.38,47.15,75.95,0.97,0.97,61,41
2022-03-05,Kenya,18.14,35.92,89.23,0.62,1.0,50,34
2022-03-12,Kenya,29.97,13.32,82.87,0.57,0.23,63,14
2022-03-19,Kenya,19.46,9.69,68.22,0.43,0.14,49,9
2022-03-26,Kenya,20.27,62.41,51.14,0.32,0.01,54,5
2022-04-02,Kenya,32.38,36.46,69.67,0.04,0.69,64,32
2022-04-09,Kenya,22.23,23.0,80.36,0.28,0.04,72,8
2022-04-16,Kenya,19.0,24.88,81.18,0.04,0.86,51,31
2022-04-23,Kenya,27.25,7.88,79.22,0.04,0.01,56,5
2022-04-30,Kenya,23.42,49.19,79.79,0.57,0.93,67,44
2022-05-07,Kenya,26.4,51.12,51.36,0.84,0.08,46,6
2022-05-14,Kenya,26.21,11.93,72.33,0.8,0.01,50,5
2022-05-21,Kenya,28.76,7.35,68.49,0.7,0.26,70,18
2022-05-28,Kenya,23.46,24.81,60.98,0.73,0.34,61,18
2022-06-04,Kenya,26.86,77.01,63.39,0.32,0.51,53,21
2022-06-11,Kenya,22.34,30.49,80.36,0.08,0.34,61,18
2022-06-18,Kenya,22.85,11.7,74.56,0.8,0.12,50,8
2022-06-25,Kenya,24.42,29.45,72.33,0.1,0.8,47,27
2022-07-02,Kenya,25.19,11.38,84.18,0.57,0.27,57,14
2022-07-09,Kenya,23.49,43.84,63.3,0.24,0.27,46,12
2022-07-16,Kenya,27.84,75.25,70.74,0.58,0.47,46,17
2022-07-23,Kenya,21.99,13.28,52.21,0.78,0.5,60,23
2022-07-30,Kenya,20.5,15.52,83.97,0.87,0.36,63,19
2022-08-06,Kenya,22.29,49.59,66.11,0.33,0.77,50,28
2022-08-13,Kenya,22.52,27.58,67.95,0.9,0.61,58,27
2022-08-20,Kenya,16.6,10.07,79.47,0.24,0.48,61,23
2022-08-27,Kenya,25.21,38.89,83.41,0.12,0.14,52,9
2022-09-03,Kenya,22.85,5.42,80.66,0.63,0.5,60,23
2022-09-10,Kenya,27.8,22.13,86.34,0.3,0.3,58,16
2022-09-17,Kenya,21.35,23.14,67.56,0.05,0.25,82,20
2022-09-24,Kenya,18.14,29.59,80.22,0.26,0.27,57,15
2022-10-01,Kenya,28.64,32.95,55.85,0.33,0.66,61,30
2022-10-08,Kenya,21.55,16.93,75.85,0.63,0.95,56,37
2022-10-15,Kenya,25.43,24.28,65.39,0.65,0.46,58,21
2022-10-22,Kenya,27.67,18.86,71.73,0.5,0.16,57,11
2022-10-29,Kenya,27.26,33.86,81.57,0.13,0.09,55,8
2022-11-05,Kenya,28.45,67.55,81.0,0.15,0.39,53,17
2022-11-12,Kenya,21.52,6.35,59.0,0.94,0.83,51,30
2022-11-19,Kenya,24.64,6.73,61.26,0.64,0.73,52,28
2022-11-26,Kenya,19.25,21.02,69.42,0.5,0.51,49,19
2022-12-03,Kenya,20.59,39.97,70.14,0.04,0.11,53,8
2022-12-10,Kenya,22.21,78.85,84.64,0.65,0.26,42,10
2022-12-17,Kenya,23.72,7.09,68.62,0.14,0.39,67,22
2022-12-24,Kenya,24.69,32.42,85.51,0.33,0.24,60,14
2022-12-31,Kenya,18.95,38.3,83.29,0.48,0.32,61,17
2023-01-07,Kenya,25.71,33.27,52.1,0.86,0.94,49,32
2023-01-14,Kenya,27.1,11.14,80.44,0.01,0.81,74,43
2023-01-21,Kenya,19.4,20.18,77.27,0.99,0.95,50,33
2023-01-28,Kenya,22.24,28.93,73.29,0.89,0.69,52,26
2023-02-04,Kenya,21.52,61.78,66.09,0.11,0.29,55,14
2023-02-11,Kenya,25.61,35.45,87.78,0.29,0.2,51,11
2023-02-18,Kenya,22.72,35.1,60.79,0.54,0.34,62,18
2023-02-25,Kenya,31.74,18.12,56.87,0.87,0.91,59,38
2023-03-04,Kenya,23.28,13.93,76.16,0.09,0.28,59,15
2023-03-11,Kenya,21.16,21.41,83.39,0.87,0.2,53,11
2023-03-18,Kenya,24.81,53.94,78.32,0.12,0.65,63,31
2023-03-25,Kenya,27.3,13.99,67.52,0.72,0.67,60,30
2023-04-01,Kenya,21.13,14.18,87.16,0.16,0.94,51,33
2023-04-08,Kenya,24.38,20.97,50.04,0.62,0.46,48,17
2023-04-15,Kenya,25.43,17.51,69.34,0.22,0.87,65,40
2023-04-22,Kenya,31.62,6.56,51.3,0.34,0.3,60,16
2023-04-29,Kenya,25.99,4.57,89.66,0.06,0.14,67,12
2023-05-06,Kenya,27.13,14.87,50.96,0.99,0.6,47,21
2023-05-13,Kenya,25.05,34.01,59.1,0.24,0.44,55,19
2023-05-20,Kenya,26.97,45.39,57.17,0.1,0.39,52,17
2023-05-27,Kenya,25.65,66.78,61.92,0.02,0.13,64,11
2023-06-03,Kenya,26.29,19.68,85.0,0.91,0.29,49,13
2023-06-10,Kenya,29.68,41.22,74.22,0.51,0.55,51,21
2023-06-17,Kenya,26.1,38.09,77.11,0.79,0.14,58,10
2023-06-24,Kenya,26.63,21.79,53.84,0.61,0.37,65,20
2023-07-01,Kenya,33.09,54.5,66.7,0.26,0.11,63,10
2023-07-08,Kenya,22.47,32.2,67.48,0.09,0.42,62,21
2023-07-15,Kenya,21.55,9.67,82.75,0.02,0.05,58,7
2023-07-22,Kenya,24.75,15.4,54.06,0.86,0.44,54,19
2023-07-29,Kenya,24.06,15.41,64.02,0.65,0.54,47,19
2023-08-05,Kenya,22.03,8.61,71.66,0.2,0.37,57,18
2023-08-12,Kenya,20.91,25.48,54.85,0.85,0.93,47,30
2023-08-19,Kenya,35.21,76.29,61.18,0.77,0.43,54,19
2023-08-26,Kenya,27.49,42.93,67.77,0.4,0.91,69,44
2023-09-02,Kenya,30.02,47.69,58.43,0.55,0.59,48,21
2023-09-09,Kenya,24.83,79.66,88.63,0.42,0.8,61,35
2023-09-16,Kenya,21.0,46.6,64.8,0.99,0.0,56,5
2023-09-23,Kenya,26.87,59.1,87.94,0.87,0.47,45,17
2023-09-30,Kenya,21.75,64.02,56.13,0.68,0.87,57,35
2023-10-07,Kenya,20.95,35.06,75.24,0.26,0.37,53,16
2023-10-14,Kenya,28.03,24.92,81.88,0.56,0.9,50,32
2023-10-21,Kenya,27.61,16.63,78.01,0.25,0.19,49,10
2023-10-28,Kenya,29.93,37.7,88.85,0.21,0.37,50,16
2023-11-04,Kenya,23.23,28.65,79.76,0.17,0.11,58,9
2023-11-11,Kenya,22.16,16.74,73.79,0.34,0.62,57,26
2023-11-18,Kenya,23.87,11.33,72.97,0.5,0.04,51,6
2023-11-25,Kenya,25.26,8.78,56.81,0.07,0.35,54,16
2023-12-02,Kenya,23.37,28.1,56.69,0.82,0.65,61,29
2023-12-09,Kenya,32.06,14.15,76.78,0.42,0.53,52,21
2023-12-16,Kenya,28.57,3.82,67.64,0.45,0.8,62,36
2023-12-23,Kenya,21.06,86.25,69.57,0.14,0.45,53,19
2022-01-01,Uganda,20.89,47.41,62.83,0.71,0.87,57,35
2022-01-08,Uganda,28.14,63.88,74.68,0.28,0.23,61,14
2022-01-15,Uganda,21.74,13.58,57.6,0.95,0.26,61,15
2022-01-22,Uganda,25.64,15.37,57.76,0.65,0.61,50,23
2022-01-29,Uganda,23.56,8.14,53.22,0.0,0.8,56,32
2022-02-05,Uganda,28.16,39.35,65.96,0.29,1.0,60,41
2022-02-12,Uganda,22.44,42.29,76.01,0.1,0.32,66,19
2022-02-19,Uganda,24.83,5.05,54.22,0.5,0.25,50,12
2022-02-26,Uganda,27.69,27.64,59.08,0.06,0.34,42,12
2022-03-05,Uganda,31.28,50.0,69.0,0.29,0.17,65,13
2022-03-12,Uganda,24.17,32.53,54.44,0.23,0.32,51,14
2022-03-19,Uganda,19.62,8.75,75.16,0.02,0.87,55,34
2022-03-26,Uganda,27.08,37.3,65.73,0.58,0.08,56,8
2022-04-02,Uganda,26.73,61.35,76.61,0.75,0.19,52,11
2022-04-09,Uganda,26.18,44.3,59.43,0.93,0.95,53,35
2022-04-16,Uganda,28.04,9.83,87.07,0.31,0.57,59,26
2022-04-23,Uganda,29.16,16.57,72.21,0.72,0.64,49,23
2022-04-30,Uganda,22.95,9.8,86.19,0.85,0.58,52,23
2022-05-07,Uganda,25.61,41.03,50.02,0.35,0.37,70,22
2022-05-14,Uganda,22.33,57.71,72.62,0.92,0.13,49,8
2022-05-21,Uganda,29.64,41.2,71.45,0.9,0.06,59,8
2022-05-28,Uganda,28.1,42.48,74.56,0.83,0.19,46,9
2022-06-04,Uganda,24.95,3.28,70.87,0.5,0.75,55,30
2022-06-11,Uganda,24.67,40.93,60.33,0.63,0.27,68,17
2022-06-18,Uganda,26.48,25.24,84.82,0.97,0.96,39,26
2022-06-25,Uganda,20.33,55.18,75.4,0.55,0.97,54,36
2022-07-02,Uganda,26.64,39.63,68.46,0.68,0.06,64,8
2022-07-09,Uganda,21.38,41.59,73.58,0.46,0.59,35,15
2022-07-16,Uganda,22.94,22.6,75.29,0.01,0.1,63,10
2022-07-23,Uganda,24.66,70.74,66.01,0.71,0.04,53,6
2022-07-30,Uganda,21.09,37.51,77.79,0.05,0.78,78,44
2022-08-06,Uganda,31.89,19.64,58.24,0.9,0.45,51,18
2022-08-13,Uganda,19.67,83.49,68.87,0.07,0.69,63,32
2022-08-20,Uganda,22.88,13.03,56.73,0.02,0.64,63,30
2022-08-27,Uganda,19.86,53.96,70.29,0.9,0.93,42,27
2022-09-03,Uganda,20.01,49.31,68.4,0.02,0.63,56,26
2022-09-10,Uganda,30.15,39.58,85.35,0.04,0.72,51,27
2022-09-17,Uganda,21.85,43.4,64.37,0.89,0.7,45,23
2022-09-24,Uganda,30.67,50.55,87.59,0.13,0.05,52,6
2022-10-01,Uganda,26.57,56.65,77.74,0.1,0.96,60,40
2022-10-08,Uganda,25.61,88.3,75.33,0.64,0.38,44,14
2022-10-15,Uganda,25.41,11.82,53.86,0.28,0.7,72,37
2022-10-22,Uganda,25.19,31.67,80.29,0.91,0.08,54,8
2022-10-29,Uganda,29.42,38.46,58.18,0.16,0.36,57,18
2022-11-05,Uganda,26.61,24.85,52.19,0.57,0.18,51,10
2022-11-12,Uganda,20.89,23.66,80.47,0.81,0.74,51,27
2022-11-19,Uganda,23.73,47.48,75.45,0.22,0.4,56,19
2022-11-26,Uganda,26.82,81.55,72.27,0.4,0.37,62,19
2022-12-03,Uganda,28.98,12.88,61.18,0.42,0.14,67,12
2022-12-10,Uganda,27.88,9.86,55.58,0.74,0.68,51,25
2022-12-17,Uganda,23.34,62.03,86.14,0.86,0.62,51,24
2022-12-24,Uganda,26.78,11.67,85.89,0.12,0.3,55,15
2022-12-31,Uganda,26.17,16.93,61.08,0.33,0.55,71,30
2023-01-07,Uganda,29.78,31.8,66.34,0.71,0.63,47,22
2023-01-14,Uganda,22.43,23.51,59.39,0.39,0.86,53,32
2023-01-21,Uganda,26.2,52.32,85.65,0.68,0.14,46,8
2023-01-28,Uganda,23.41,20.03,87.64,0.51,0.21,56,12
2023-02-04,Uganda,22.88,36.06,67.54,0.4,0.31,69,19
2023-02-11,Uganda,21.67,50.89,55.22,0.65,0.08,53,7
2023-02-18,Uganda,25.57,21.93,56.19,0.03,0.25,65,16
2023-02-25,Uganda,26.28,25.34,66.26,0.18,0.18,47,9
2023-03-04,Uganda,30.69,46.37,57.84,0.0,0.3,63,17
2023-03-11,Uganda,25.04,20.95,80.8,0.01,0.57,75,32
2023-03-18,Uganda,23.22,54.21,52.18,0.25,0.15,72,13
2023-03-25,Uganda,23.7,18.58,60.53,0.93,0.2,49,10
2023-04-01,Uganda,24.88,2.53,67.39,0.54,0.56,54,23
2023-04-08,Uganda,26.42,45.41,89.4,0.31,0.84,55,33
2023-04-15,Uganda,26.66,22.87,56.15,0.41,0.58,55,24
2023-04-22,Uganda,32.28,127.66,85.44,0.51,0.4,48,16
2023-04-29,Uganda,19.52,19.11,82.49,0.47,0.22,58,13
2023-05-06,Uganda,24.55,31.02,73.32,0.45,0.32,38,11
