week,country,district,pathogen,cases,amr_abundance
2023-04-30,Rwanda,Kigali,Rotavirus,13,7.79
2023-05-07,Rwanda,Kigali,Cholera,16,4.49
2023-05-07,Rwanda,Kigali,E. coli,9,7.96
2023-05-07,Rwanda,Kigali,Salmonella,20,4.83
2023-05-07,Rwanda,Kigali,Shigella,20,8.04
2023-05-07,Rwanda,Kigali,Rotavirus,14,0.0
2023-05-14,Rwanda,Kigali,Cholera,7,0.0
2023-05-14,Rwanda,Kigali,E. coli,16,7.89
2023-05-14,Rwanda,Kigali,Salmonella,28,2.75
2023-05-14,Rwanda,Kigali,Shigella,17,6.37
2023-05-14,Rwanda,Kigali,Rotavirus,17,9.46
2023-05-21,Rwanda,Kigali,Cholera,9,6.13
2023-05-21,Rwanda,Kigali,E. coli,12,1.88
2023-05-21,Rwanda,Kigali,Salmonella,19,4.44
2023-05-21,Rwanda,Kigali,Shigella,13,0.19
2023-05-21,Rwanda,Kigali,Rotavirus,13,0.0
2023-05-28,Rwanda,Kigali,Cholera,16,10.7
2023-05-28,Rwanda,Kigali,E. coli,12,2.78
2023-05-28,Rwanda,Kigali,Salmonella,10,3.76
2023-05-28,Rwanda,Kigali,Shigella,12,0.0
2023-05-28,Rwanda,Kigali,Rotavirus,19,6.36
2023-06-04,Rwanda,Kigali,Cholera,10,2.61
2023-06-04,Rwanda,Kigali,E. coli,8,11.47
2023-06-04,Rwanda,Kigali,Salmonella,16,3.32
2023-06-04,Rwanda,Kigali,Shigella,18,5.18
2023-06-04,Rwanda,Kigali,Rotavirus,12,6.73
2023-06-11,Rwanda,Kigali,Cholera,13,4.96
2023-06-11,Rwanda,Kigali,E. coli,9,0.0
2023-06-11,Rwanda,Kigali,Salmonella,11,5.08
2023-06-11,Rwanda,Kigali,Shigella,11,0.0
2023-06-11,Rwanda,Kigali,Rotavirus,12,0.44
2023-06-18,Rwanda,Kigali,Cholera,12,1.37
2023-06-18,Rwanda,Kigali,E. coli,5,0.0
2023-06-18,Rwanda,Kigali,Salmonella,12,0.0
2023-06-18,Rwanda,Kigali,Shigella,11,5.39
2023-06-18,Rwanda,Kigali,Rotavirus,4,12.75
2023-06-25,Rwanda,Kigali,Cholera,10,0.0
2023-06-25,Rwanda,Kigali,E. coli,11,4.96
2023-06-25,Rwanda,Kigali,Salmonella,7,2.88
2023-06-25,Rwanda,Kigali,Shigella,11,0.0
2023-06-25,Rwanda,Kigali,Rotavirus,7,3.34
2023-07-02,Rwanda,Kigali,Cholera,5,9.53
2023-07-02,Rwanda,Kigali,E. coli,6,3.79
2023-07-02,Rwanda,Kigali,Salmonella,3,0.0
2023-07-02,Rwanda,Kigali,Shigella,5,2.02
2023-07-02,Rwanda,Kigali,Rotavirus,3,0.0
2023-07-09,Rwanda,Kigali,Cholera,3,0.0
2023-07-09,Rwanda,Kigali,E. coli,3,0.0
2023-07-09,Rwanda,Kigali,Salmonella,6,2.43
2023-07-09,Rwanda,Kigali,Shigella,3,5.79
2023-07-09,Rwanda,Kigali,Rotavirus,2,0.0
2023-07-16,Rwanda,Kigali,Cholera,3,0.0
2023-07-16,Rwanda,Kigali,E. coli,1,0.0
2023-07-16,Rwanda,Kigali,Salmonella,2,5.83
2023-07-16,Rwanda,Kigali,Shigella,1,0.0
2023-07-16,Rwanda,Kigali,Rotavirus,2,0.0
2023-07-23,Rwanda,Kigali,Cholera,0,1.19
2023-07-23,Rwanda,Kigali,E. coli,0,0.0
2023-07-23,Rwanda,Kigali,Salmonella,0,4.61
2023-07-23,Rwanda,Kigali,Shigella,0,6.11
2023-07-23,Rwanda,Kigali,Rotavirus,0,0.0
2023-07-30,Rwanda,Kigali,Cholera,0,12.86
2023-07-30,Rwanda,Kigali,E. coli,0,0.75
2023-07-30,Rwanda,Kigali,Salmonella,0,0.72
2023-07-30,Rwanda,Kigali,Shigella,0,4.89
2023-07-30,Rwanda,Kigali,Rotavirus,0,0.07
2023-08-06,Rwanda,Kigali,Cholera,0,0.31
2023-08-06,Rwanda,Kigali,E. coli,39,2.39
2023-08-06,Rwanda,Kigali,Salmonella,0,3.08
2023-08-06,Rwanda,Kigali,Shigella,0,1.63
2023-08-06,Rwanda,Kigali,Rotavirus,0,0.0
2023-08-13,Rwanda,Kigali,Cholera,0,0.0
2023-08-13,Rwanda,Kigali,E. coli,0,5.25
2023-08-13,Rwanda,Kigali,Salmonella,0,0.0
2023-08-13,Rwanda,Kigali,Shigella,0,3.03
2023-08-13,Rwanda,Kigali,Rotavirus,0,0.0
2023-08-20,Rwanda,Kigali,Cholera,0,8.48
2023-08-20,Rwanda,Kigali,E. coli,0,0.0
2023-08-20,Rwanda,Kigali,Salmonella,0,2.0
2023-08-20,Rwanda,Kigali,Shigella,0,0.57
2023-08-20,Rwanda,Kigali,Rotavirus,0,0.75
2023-08-27,Rwanda,Kigali,Cholera,0,1.54
2023-08-27,Rwanda,Kigali,E. coli,0,0.0
2023-08-27,Rwanda,Kigali,Salmonella,0,0.85
2023-08-27,Rwanda,Kigali,Shigella,45,8.08
2023-08-27,Rwanda,Kigali,Rotavirus,0,5.52
2023-09-03,Rwanda,Kigali,Cholera,0,5.76
2023-09-03,Rwanda,Kigali,E. coli,0,0.0
2023-09-03,Rwanda,Kigali,Salmonella,0,6.8
2023-09-03,Rwanda,Kigali,Shigella,0,9.05
2023-09-03,Rwanda,Kigali,Rotavirus,0,0.0
2023-09-10,Rwanda,Kigali,Cholera,0,0.0
2023-09-10,Rwanda,Kigali,E. coli,0,0.0
2023-09-10,Rwanda,Kigali,Salmonella,0,0.0
2023-09-10,Rwanda,Kigali,Shigella,0,11.49
2023-09-10,Rwanda,Kigali,Rotavirus,0,7.02
2023-09-17,Rwanda,Kigali,Cholera,0,0.0
2023-09-17,Rwanda,Kigali,E. coli,0,0.74
2023-09-17,Rwanda,Kigali,Salmonella,0,0.0
2023-09-17,Rwanda,Kigali,Shigella,0,4.12
2023-09-17,Rwanda,Kigali,Rotavirus,0,0.0
2023-09-24,Rwanda,Kigali,Cholera,0,0.0
2023-09-24,Rwanda,Kigali,E. coli,41,10.98
2023-09-24,Rwanda,Kigali,Salmonella,0,3.04
2023-09-24,Rwanda,Kigali,Shigella,0,0.0
2023-09-24,Rwanda,Kigali,Rotavirus,0,0.0
2023-10-01,Rwanda,Kigali,Cholera,0,4.94
2023-10-01,Rwanda,Kigali,E. coli,0,0.9
2023-10-01,Rwanda,Kigali,Salmonella,0,0.0
2023-10-01,Rwanda,Kigali,Shigella,0,0.0
2023-10-01,Rwanda,Kigali,Rotavirus,0,0.0
2023-10-08,Rwanda,Kigali,Cholera,0,0.0
2023-10-08,Rwanda,Kigali,E. coli,0,4.65
2023-10-08,Rwanda,Kigali,Salmonella,0,0.0
2023-10-08,Rwanda,Kigali,Shigella,0,0.0
2023-10-08,Rwanda,Kigali,Rotavirus,0,4.08
2023-10-15,Rwanda,Kigali,Cholera,0,3.09
2023-10-15,Rwanda,Kigali,E. coli,0,0.0
2023-10-15,Rwanda,Kigali,Salmonella,0,3.16
2023-10-15,Rwanda,Kigali,Shigella,0,4.09
2023-10-15,Rwanda,Kigali,Rotavirus,0,0.67
2023-10-22,Rwanda,Kigali,Cholera,0,2.23
2023-10-22,Rwanda,Kigali,E. coli,42,7.33
2023-10-22,Rwanda,Kigali,Salmonella,0,6.78
2023-10-22,Rwanda,Kigali,Shigella,0,0.0
2023-10-22,Rwanda,Kigali,Rotavirus,0,4.51
2023-10-29,Rwanda,Kigali,Cholera,0,0.0
2023-10-29,Rwanda,Kigali,E. coli,0,0.0
2023-10-29,Rwanda,Kigali,Salmonella,0,6.49
2023-10-29,Rwanda,Kigali,Shigella,0,0.88
2023-10-29,Rwanda,Kigali,Rotavirus,0,6.94
2023-11-05,Rwanda,Kigali,Cholera,0,0.0
2023-11-05,Rwanda,Kigali,E. coli,0,3.65
2023-11-05,Rwanda,Kigali,Salmonella,0,1.28
2023-11-05,Rwanda,Kigali,Shigella,0,0.0
2023-11-05,Rwanda,Kigali,Rotavirus,0,3.2
2023-11-12,Rwanda,Kigali,Cholera,0,0.0
2023-11-12,Rwanda,Kigali,E. coli,0,0.0
2023-11-12,Rwanda,Kigali,Salmonella,0,0.0
2023-11-12,Rwanda,Kigali,Shigella,0,0.0
2023-11-12,Rwanda,Kigali,Rotavirus,0,0.0
2023-11-19,Rwanda,Kigali,Cholera,0,0.0
2023-11-19,Rwanda,Kigali,E. coli,0,0.0
2023-11-19,Rwanda,Kigali,Salmonella,0,0.0
2023-11-19,Rwanda,Kigali,Shigella,0,3.18
2023-11-19,Rwanda,Kigali,Rotavirus,0,0.0
2023-11-26,Rwanda,Kigali,Cholera,0,0.0
2023-11-26,Rwanda,Kigali,E. coli,24,9.72
2023-11-26,Rwanda,Kigali,Salmonella,0,0.0
2023-11-26,Rwanda,Kigali,Shigella,0,0.0
2023-11-26,Rwanda,Kigali,Rotavirus,46,11.11
2023-12-03,Rwanda,Kigali,Cholera,0,0.0
2023-12-03,Rwanda,Kigali,E. coli,0,2.99
2023-12-03,Rwanda,Kigali,Salmonella,0,0.0
2023-12-03,Rwanda,Kigali,Shigella,0,0.0
2023-12-03,Rwanda,Kigali,Rotavirus,43,6.12
2023-12-10,Rwanda,Kigali,Cholera,36,6.36
2023-12-10,Rwanda,Kigali,E. coli,0,3.16
2023-12-10,Rwanda,Kigali,Salmonella,0,12.27
2023-12-10,Rwanda,Kigali,Shigella,0,0.85
2023-12-10,Rwanda,Kigali,Rotavirus,0,0.0
2023-12-17,Rwanda,Kigali,Cholera,2,0.0
2023-12-17,Rwanda,Kigali,E. coli,1,0.0
2023-12-17,Rwanda,Kigali,Salmonella,1,0.83
2023-12-17,Rwanda,Kigali,Shigella,1,1.35
2023-12-17,Rwanda,Kigali,Rotavirus,1,4.74
2023-12-24,Rwanda,Kigali,Cholera,7,1.58
2023-12-24,Rwanda,Kigali,E. coli,2,1.99
2023-12-24,Rwanda,Kigali,Salmonella,5,0.0
2023-12-24,Rwanda,Kigali,Shigella,2,0.0
2023-12-24,Rwanda,Kigali,Rotavirus,1,4.51
2023-01-01,Rwanda,Huye,Cholera,3,0.0
2023-01-01,Rwanda,Huye,E. coli,2,0.0
2023-01-01,Rwanda,Huye,Salmonella,6,0.03
2023-01-01,Rwanda,Huye,Shigella,1,9.43
2023-01-01,Rwanda,Huye,Rotavirus,6,6.88
2023-01-08,Rwanda,Huye,Cholera,1,0.0
2023-01-08,Rwanda,Huye,E. coli,9,0.0
2023-01-08,Rwanda,Huye,Salmonella,9,0.0
2023-01-08,Rwanda,Huye,Shigella,4,3.37
2023-01-08,Rwanda,Huye,Rotavirus,3,0.0
2023-01-15,Rwanda,Huye,Cholera,44,6.54
2023-01-15,Rwanda,Huye,E. coli,7,0.0
2023-01-15,Rwanda,Huye,Salmonella,6,0.0
2023-01-15,Rwanda,Huye,Shigella,4,0.99
2023-01-15,Rwanda,Huye,Rotavirus,7,1.7
2023-01-22,Rwanda,Huye,Cholera,12,0.0
2023-01-22,Rwanda,Huye,E. coli,14,9.39
2023-01-22,Rwanda,Huye,Salmonella,10,2.99
2023-01-22,Rwanda,Huye,Shigella,13,0.0
2023-01-22,Rwanda,Huye,Rotavirus,38,5.18
2023-01-29,Rwanda,Huye,Cholera,11,4.73
2023-01-29,Rwanda,Huye,E. coli,12,0.0
2023-01-29,Rwanda,Huye,Salmonella,9,0.12
2023-01-29,Rwanda,Huye,Shigella,21,5.96
2023-01-29,Rwanda,Huye,Rotavirus,13,18.12
2023-02-05,Rwanda,Huye,Cholera,14,4.54
2023-02-05,Rwanda,Huye,E. coli,12,5.4
2023-02-05,Rwanda,Huye,Salmonella,12,8.07
2023-02-05,Rwanda,Huye,Shigella,18,11.88
2023-02-05,Rwanda,Huye,Rotavirus,15,0.0
2023-02-12,Rwanda,Huye,Cholera,14,1.8
2023-02-12,Rwanda,Huye,E. coli,16,0.0
2023-02-12,Rwanda,Huye,Salmonella,9,7.04
2023-02-12,Rwanda,Huye,Shigella,16,1.72
2023-02-12,Rwanda,Huye,Rotavirus,12,0.0
2023-02-19,Rwanda,Huye,Cholera,18,0.0
2023-02-19,Rwanda,Huye,E. coli,13,0.0
2023-02-19,Rwanda,Huye,Salmonella,17,9.43
2023-02-19,Rwanda,Huye,Shigella,16,0.62
2023-02-19,Rwanda,Huye,Rotavirus,13,2.82
2023-02-26,Rwanda,Huye,Cholera,14,3.75
2023-02-26,Rwanda,Huye,E. coli,20,0.0
2023-02-26,Rwanda,Huye,Salmonella,20,4.34
2023-02-26,Rwanda,Huye,Shigella,14,4.8
2023-02-26,Rwanda,Huye,Rotavirus,18,0.0
2023-03-05,Rwanda,Huye,Cholera,14,5.33
2023-03-05,Rwanda,Huye,E. coli,45,8.85
2023-03-05,Rwanda,Huye,Salmonella,20,14.02
2023-03-05,Rwanda,Huye,Shigella,21,0.0
2023-03-05,Rwanda,Huye,Rotavirus,20,12.16
2023-03-12,Rwanda,Huye,Cholera,20,0.0
2023-03-12,Rwanda,Huye,E. coli,21,0.0
2023-03-12,Rwanda,Huye,Salmonella,23,5.2
2023-03-12,Rwanda,Huye,Shigella,17,0.0
2023-03-12,Rwanda,Huye,Rotavirus,17,0.0
2023-03-19,Rwanda,Huye,Cholera,22,1.4
2023-03-19,Rwanda,Huye,E. coli,18,1.33
2023-03-19,Rwanda,Huye,Salmonella,17,3.3
2023-03-19,Rwanda,Huye,Shigella,21,7.6
2023-03-19,Rwanda,Huye,Rotavirus,26,8.08
2023-03-26,Rwanda,Huye,Cholera,18,0.0
2023-03-26,Rwanda,Huye,E. coli,17,0.0
2023-03-26,Rwanda,Huye,Salmonella,17,0.38
2023-03-26,Rwanda,Huye,Shigella,14,0.0
2023-03-26,Rwanda,Huye,Rotavirus,15,3.8
2023-04-02,Rwanda,Huye,Cholera,20,0.0
2023-04-02,Rwanda,Huye,E. coli,30,4.58
2023-04-02,Rwanda,Huye,Salmonella,16,5.21
2023-04-02,Rwanda,Huye,Shigella,18,7.61
2023-04-02,Rwanda,Huye,Rotavirus,19,1.0
2023-04-09,Rwanda,Huye,Cholera,21,6.82
2023-04-09,Rwanda,Huye,E. coli,26,1.53
2023-04-09,Rwanda,Huye,Salmonella,21,11.5
2023-04-09,Rwanda,Huye,Shigella,14,0.0
2023-04-09,Rwanda,Huye,Rotavirus,19,5.31
2023-04-16,Rwanda,Huye,Cholera,21,1.53
2023-04-16,Rwanda,Huye,E. coli,15,0.07
2023-04-16,Rwanda,Huye,Salmonella,20,3.01
2023-04-16,Rwanda,Huye,Shigella,16,5.51
2023-04-16,Rwanda,Huye,Rotavirus,17,13.99
2023-04-23,Rwanda,Huye,Cholera,20,4.48
2023-04-23,Rwanda,Huye,E. coli,30,2.6
2023-04-23,Rwanda,Huye,Salmonella,15,10.92
2023-04-23,Rwanda,Huye,Shigella,17,1.87
2023-04-23,Rwanda,Huye,Rotavirus,27,5.76
2023-04-30,Rwanda,Huye,Cholera,23,8.5
2023-04-30,Rwanda,Huye,E. coli,22,0.0
2023-04-30,Rwanda,Huye,Salmonella,16,0.0
2023-04-30,Rwanda,Huye,Shigella,19,14.58
2023-04-30,Rwanda,Huye,Rotavirus,18,0.0
2023-05-07,Rwanda,Huye,Cholera,16,6.04
2023-05-07,Rwanda,Huye,E. coli,15,6.0
2023-05-07,Rwanda,Huye,Salmonella,13,2.85
2023-05-07,Rwanda,Huye,Shigella,22,5.25
2023-05-07,Rwanda,Huye,Rotavirus,25,1.75
2023-05-14,Rwanda,Huye,Cholera,16,5.85
2023-05-14,Rwanda,Huye,E. coli,15,5.54
2023-05-14,Rwanda,Huye,Salmonella,15,3.27
2023-05-14,Rwanda,Huye,Shigella,15,5.7
2023-05-14,Rwanda,Huye,Rotavirus,18,0.0
2023-05-21,Rwanda,Huye,Cholera,18,0.78
2023-05-21,Rwanda,Huye,E. coli,10,0.0
2023-05-21,Rwanda,Huye,Salmonella,17,0.0
2023-05-21,Rwanda,Huye,Shigella,16,7.76
2023-05-21,Rwanda,Huye,Rotavirus,14,8.84
2023-05-28,Rwanda,Huye,Cholera,16,1.62
2023-05-28,Rwanda,Huye,E. coli,13,6.92
2023-05-28,Rwanda,Huye,Salmonella,9,0.0
2023-05-28,Rwanda,Huye,Shigella,23,0.0
2023-05-28,Rwanda,Huye,Rotavirus,18,13.9
2023-06-04,Rwanda,Huye,Cholera,8,0.0
2023-06-04,Rwanda,Huye,E. coli,11,0.0
2023-06-04,Rwanda,Huye,Salmonella,15,0.0
2023-06-04,Rwanda,Huye,Shigella,16,1.17
2023-06-04,Rwanda,Huye,Rotavirus,11,3.58
2023-06-11,Rwanda,Huye,Cholera,11,6.2
2023-06-11,Rwanda,Huye,E. coli,10,3.18
2023-06-11,Rwanda,Huye,Salmonella,4,0.0
2023-06-11,Rwanda,Huye,Shigella,9,5.2
2023-06-11,Rwanda,Huye,Rotavirus,7,7.19
2023-06-18,Rwanda,Huye,Cholera,6,0.0
2023-06-18,Rwanda,Huye,E. coli,46,16.71
2023-06-18,Rwanda,Huye,Salmonella,7,2.55
2023-06-18,Rwanda,Huye,Shigella,8,0.0
2023-06-18,Rwanda,Huye,Rotavirus,12,0.0
2023-06-25,Rwanda,Huye,Cholera,7,5.95
2023-06-25,Rwanda,Huye,E. coli,6,0.31
2023-06-25,Rwanda,Huye,Salmonella,9,6.89
2023-06-25,Rwanda,Huye,Shigella,9,5.67
2023-06-25,Rwanda,Huye,Rotavirus,8,7.21
2023-07-02,Rwanda,Huye,Cholera,1,0.0
2023-07-02,Rwanda,Huye,E. coli,5,0.0
2023-07-02,Rwanda,Huye,Salmonella,4,0.0
2023-07-02,Rwanda,Huye,Shigella,7,3.33
2023-07-02,Rwanda,Huye,Rotavirus,2,4.27
2023-07-09,Rwanda,Huye,Cholera,2,4.81
2023-07-09,Rwanda,Huye,E. coli,6,4.79
2023-07-09,Rwanda,Huye,Salmonella,4,9.18
2023-07-09,Rwanda,Huye,Shigella,2,3.87
2023-07-09,Rwanda,Huye,Rotavirus,2,0.0
2023-07-16,Rwanda,Huye,Cholera,2,0.0
2023-07-16,Rwanda,Huye,E. coli,2,0.0
2023-07-16,Rwanda,Huye,Salmonella,1,0.0
2023-07-16,Rwanda,Huye,Shigella,3,0.0
2023-07-16,Rwanda,Huye,Rotavirus,1,0.85
2023-07-23,Rwanda,Huye,Cholera,0,0.0
2023-07-23,Rwanda,Huye,E. coli,0,5.36
2023-07-23,Rwanda,Huye,Salmonella,0,0.0
2023-07-23,Rwanda,Huye,Shigella,0,1.76
2023-07-23,Rwanda,Huye,Rotavirus,0,8.45
2023-07-30,Rwanda,Huye,Cholera,0,5.8
2023-07-30,Rwanda,Huye,E. coli,0,0.0
2023-07-30,Rwanda,Huye,Salmonella,0,2.04
2023-07-30,Rwanda,Huye,Shigella,0,0.0
2023-07-30,Rwanda,Huye,Rotavirus,0,0.0
2023-08-06,Rwanda,Huye,Cholera,0,0.0
2023-08-06,Rwanda,Huye,E. coli,0,0.0
2023-08-06,Rwanda,Huye,Salmonella,0,0.0
2023-08-06,Rwanda,Huye,Shigella,0,5.06
2023-08-06,Rwanda,Huye,Rotavirus,0,0.0
2023-08-13,Rwanda,Huye,Cholera,0,0.0
2023-08-13,Rwanda,Huye,E. coli,0,2.76
2023-08-13,Rwanda,Huye,Salmonella,0,2.02
2023-08-13,Rwanda,Huye,Shigella,0,0.0
2023-08-13,Rwanda,Huye,Rotavirus,0,0.0
2023-08-20,Rwanda,Huye,Cholera,0,5.6
2023-08-20,Rwanda,Huye,E. coli,0,0.0
2023-08-20,Rwanda,Huye,Salmonella,0,1.12
2023-08-20,Rwanda,Huye,Shigella,38,4.46
2023-08-20,Rwanda,Huye,Rotavirus,0,3.01
2023-08-27,Rwanda,Huye,Cholera,0,5.81
2023-08-27,Rwanda,Huye,E. coli,0,0.0
2023-08-27,Rwanda,Huye,Salmonella,0,0.0
2023-08-27,Rwanda,Huye,Shigella,0,2.56
2023-08-27,Rwanda,Huye,Rotavirus,45,18.14
2023-09-03,Rwanda,Huye,Cholera,0,10.09
2023-09-03,Rwanda,Huye,E. coli,0,0.0
2023-09-03,Rwanda,Huye,Salmonella,0,0.0
2023-09-03,Rwanda,Huye,Shigella,0,0.0
2023-09-03,Rwanda,Huye,Rotavirus,0,0.0
2023-09-10,Rwanda,Huye,Cholera,0,0.0
2023-09-10,Rwanda,Huye,E. coli,0,0.0
2023-09-10,Rwanda,Huye,Salmonella,0,0.0
2023-09-10,Rwanda,Huye,Shigella,0,4.67
2023-09-10,Rwanda,Huye,Rotavirus,0,0.0
2023-09-17,Rwanda,Huye,Cholera,0,5.32
2023-09-17,Rwanda,Huye,E. coli,0,0.0
2023-09-17,Rwanda,Huye,Salmonella,0,6.49
2023-09-17,Rwanda,Huye,Shigella,0,12.72
2023-09-17,Rwanda,Huye,Rotavirus,0,0.91
2023-09-24,Rwanda,Huye,Cholera,0,3.91
2023-09-24,Rwanda,Huye,E. coli,0,2.84
2023-09-24,Rwanda,Huye,Salmonella,0,1.7
2023-09-24,Rwanda,Huye,Shigella,0,0.0
2023-09-24,Rwanda,Huye,Rotavirus,32,1.09
2023-10-01,Rwanda,Huye,Cholera,0,2.14
2023-10-01,Rwanda,Huye,E. coli,0,5.94
2023-10-01,Rwanda,Huye,Salmonella,0,12.95
2023-10-01,Rwanda,Huye,Shigella,0,0.97
2023-10-01,Rwanda,Huye,Rotavirus,0,0.0
2023-10-08,Rwanda,Huye,Cholera,0,0.84
2023-10-08,Rwanda,Huye,E. coli,0,6.59
2023-10-08,Rwanda,Huye,Salmonella,0,6.59
2023-10-08,Rwanda,Huye,Shigella,0,0.0
2023-10-08,Rwanda,Huye,Rotavirus,0,6.48
2023-10-15,Rwanda,Huye,Cholera,0,0.0
2023-10-15,Rwanda,Huye,E. coli,0,4.2
2023-10-15,Rwanda,Huye,Salmonella,0,2.73
2023-10-15,Rwanda,Huye,Shigella,0,0.0
2023-10-15,Rwanda,Huye,Rotavirus,0,0.0
2023-10-22,Rwanda,Huye,Cholera,0,6.09
2023-10-22,Rwanda,Huye,E. coli,0,7.61
2023-10-22,Rwanda,Huye,Salmonella,0,2.02
2023-10-22,Rwanda,Huye,Shigella,0,0.0
2023-10-22,Rwanda,Huye,Rotavirus,0,0.0
2023-10-29,Rwanda,Huye,Cholera,0,5.94
2023-10-29,Rwanda,Huye,E. coli,0,1.42
2023-10-29,Rwanda,Huye,Salmonella,0,0.0
2023-10-29,Rwanda,Huye,Shigella,0,4.36
